Date,avg_sentiment_all_news,avg_sentiment_top_news
3/23/2018,-0.072316949,-0.086890994
5/26/2018,-0.091478946,-0.122805001
1/8/2019,-0.086890994,-0.056354998
9/8/2018,-0.068489913,-0.191636363
10/16/2015,-0.132265355,-0.09576649
7/31/2017,-0.038093507,-0.190480768
2/16/2017,-0.056815504,0.002142857
6/15/2015,-0.13716517,-0.057184998
7/22/2010,-0.070050244,-0.173669998
8/21/2009,-0.09576649,-0.367134998
2/9/2009,-0.145711182,-0.221285713
5/31/2008,-0.074047108,-0.242640002
1/1/2009,-0.090818617,-0.312874998
10/5/2013,-0.124854244,-0.216750002
3/11/2015,-0.104162653,-0.099566667
7/4/2014,-0.14696623,-0.163564997
8/14/2013,-0.131493996,-0.274720001
7/6/2014,-0.24618493,-0.146355001
11/17/2014,-0.155224917,-0.224860001
9/1/2012,0.010779829,-0.196099998
5/2/2013,-0.122712987,-0.3014
3/17/2013,-0.068964483,-0.223459997
8/30/2011,-0.167289084,-0.311464997
8/6/2012,-0.018934999,-0.039415002
10/5/2019,-0.193647536,-0.074042915
1/28/2019,-0.074042915,-0.176120004
10/23/2017,-0.086472337,-0.27183043
12/2/2017,-0.109954892,-0.153132785
11/2/2015,-0.134091051,-0.105842856
11/27/2015,-0.152304444,-0.179799998
8/14/2017,-0.120353912,-0.22069
2/4/2016,-0.09334637,-0.214764997
6/2/2016,-0.13184306,-0.128305
6/11/2010,-0.179691997,-0.168095456
5/31/2010,-0.174050448,-0.100379996
12/31/2015,-0.135322439,-0.197580949
8/18/2017,-0.146543429,-0.23285714
10/15/2009,-0.085024192,-0.358847616
5/26/2016,-0.133938081,-0.139085001
9/18/2013,-0.134671139,-0.325239995
10/21/2012,-0.089992109,-0.286328574
10/20/2012,-0.063393302,-0.22913
7/2/2011,-0.102580555,-0.221923806
7/6/2011,-0.155563854,-0.069632
1/9/2012,-0.085930819,-0.169429999
11/8/2009,-0.050742774,-0.128014286
7/30/2019,-0.179705632,-0.100270436
3/14/2019,-0.127577309,-0.100180003
3/17/2019,-0.19173051,-0.233929998
1/30/2019,-0.100270436,-0.233579997
4/28/2019,-0.134628898,-0.272789284
8/31/2018,-0.126260381,-0.062895002
12/25/2017,-0.046772325,-0.210065218
4/9/2017,-0.134045649,-0.338824999
7/12/2009,-0.08759647,-0.252500001
6/28/2008,-0.108905554,-0.148474999
8/1/2015,-0.229473669,-0.229884999
9/25/2013,-0.075844907,-0.251564997
9/20/2013,-0.064584121,-0.250609999
9/4/2014,-0.113981456,-0.144269996
6/13/2014,-0.107481558,-0.112682609
7/18/2013,-0.041626458,-0.078378253
4/27/2011,-0.144577442,-0.357789995
10/23/2011,-0.05396121,-0.083014286
7/9/2011,-0.153350494,-0.221929999
4/18/2018,-0.087828986,-0.089549998
1/23/2018,-0.139487227,-0.068808001
9/21/2017,-0.094702091,-0.009769999
4/19/2015,-0.208283819,-0.277224998
9/23/2016,-0.09609436,-0.191370001
1/13/2016,-0.128927428,-0.204129994
3/28/2017,-0.064833372,-0.17787
2/18/2010,-0.142151098,-0.037024998
2/28/2017,-0.054067534,-0.152142856
7/25/2008,-0.098871823,-0.056045
11/23/2013,-0.125600461,-0.244089996
11/14/2012,-0.101687534,-0.256590001
8/5/2011,-0.121091331,-0.148900003
5/31/2012,0.047624076,-0.143038092
2/6/2008,-0.037024998,-0.245654998
3/29/2008,-0.152142856,-0.236559998
2/26/2018,-0.102829309,-0.430489998
9/30/2016,-0.113264378,-0.023888076
8/10/2017,-0.069330655,-0.156449999
12/29/2015,-0.151865616,-0.363449997
10/30/2015,-0.088430124,-0.235295455
6/16/2016,-0.16892043,-0.226725002
12/11/2009,-0.080174675,-0.294359996
7/11/2010,-0.125704224,-0.193258336
4/25/2008,-0.138558267,-0.099320006
7/4/2008,-0.023888076,-0.156779409
3/29/2009,-0.070130057,-0.246954997
4/22/2016,-0.100114527,-0.101504994
1/1/2016,-0.183899644,-0.194164997
9/14/2013,-0.103946824,-0.329525
4/29/2011,-0.10820915,-0.25138
8/16/2011,-0.184989713,-0.22507
8/5/2012,-0.049876922,-0.310767743
6/6/2012,-0.032332993,-0.388024996
5/10/2012,-0.00813858,-0.33598095
10/24/2019,-0.150050786,-0.150050786
7/28/2019,-0.208536672,-0.336819999
7/8/2019,-0.186731127,-0.346728575
5/14/2019,-0.141420538,-0.136334612
9/18/2018,-0.054757448,-0.25047
12/8/2017,-0.091989897,-0.366629998
8/19/2017,-0.14828807,-0.224349997
1/19/2016,-0.150097191,-0.454620001
6/30/2017,-0.047171712,-0.215269995
6/19/2015,-0.138719877,-0.188119999
11/22/2010,-0.177799162,-0.342474995
10/13/2015,-0.134639663,-0.183485001
4/16/2010,-0.046459925,-0.200785003
4/2/2009,-0.046732867,-0.280239999
7/23/2014,-0.209880721,-0.317599998
2/24/2014,-0.109808657,-0.387914997
5/25/2013,-0.143530088,-0.236735
7/16/2013,-0.080836185,-0.116499998
11/1/2014,-0.122849465,-0.23223
10/24/2012,-0.067208958,-0.116789997
1/11/2013,-0.060549072,-0.136304997
7/28/2018,-0.112808548,-0.360861908
9/24/2018,-0.088844141,-0.234884996
7/6/2017,-0.059678802,-0.159940001
4/7/2015,-0.127754838,-0.136803508
9/29/2015,-0.103984249,-0.040470371
1/30/2017,-0.132875698,-0.131934999
5/9/2016,-0.090577577,-0.265285715
4/4/2010,-0.110773712,-0.306764999
7/19/2016,-0.185827385,-0.311025001
9/14/2009,-0.136803508,0.018696668
6/15/2009,-0.029726292,-0.119509995
8/10/2008,-0.066815475,-0.151649997
6/14/2008,-0.056058619,0.071940002
8/24/2015,-0.151820545,-0.139013044
10/24/2013,-0.050498084,-0.125511265
4/29/2014,-0.102749219,-0.201539999
5/19/2013,-0.104599787,-0.188039999
6/5/2011,-0.186428028,-0.199976187
1/25/2011,-0.187311227,-0.141495241
5/22/2011,-0.17496891,-0.274838094
5/19/2012,-0.010577371,-0.366824996
3/22/2008,-0.125511265,-0.18391818
1/25/2008,-0.323140001,-0.323140001
4/26/2018,-0.150633172,-0.114423212
3/26/2019,-0.132182401,-0.159554999
6/24/2019,-0.069623401,-0.134924389
5/27/2018,-0.075651575,-0.291139128
10/4/2018,-0.114423212,-0.157414545
5/11/2017,-0.027349285,-0.139742856
9/15/2016,-0.109292729,-0.135719998
10/8/2009,-0.152452325,-0.110225001
11/7/2009,-0.182166666,-0.073759997
11/6/2009,-0.084801667,-0.024155
11/10/2009,-0.08929576,-0.298794999
10/28/2008,-0.15346354,-0.265369999
6/7/2009,-0.05341055,-0.101264999
6/23/2014,-0.127644167,-0.189965215
5/15/2013,-0.080104398,-0.245604997
3/31/2013,-0.054692663,-0.202649999
3/27/2011,-0.093550654,-0.159625
2/28/2012,-0.035774251,-0.333260002
10/6/2011,-0.104023356,-0.025320002
1/26/2008,0,0
2/28/2019,-0.071186928,-0.032418604
7/29/2018,-0.15250112,-0.160866662
12/25/2018,-0.032418604,-0.163140001
2/8/2016,-0.114493574,-0.294218747
10/7/2016,-0.083873425,-0.131237714
12/12/2016,-0.048233844,-0.117783005
3/19/2010,-0.033173468,-0.006684884
6/16/2010,-0.067033594,-0.264845002
5/4/2010,-0.091678597,-0.232674997
7/24/2010,-0.109937324,-0.264558137
2/2/2010,-0.08061875,-0.300129999
2/8/2009,-0.165068981,-0.183114999
5/3/2009,-0.131237714,-0.247528567
10/8/2008,-0.117783005,-0.259977268
8/26/2008,-0.006684884,-0.224639999
9/1/2014,-0.097117016,-0.188119999
9/13/2013,-0.136530137,-0.368636364
10/23/2014,-0.087084237,-0.065074999
7/14/2014,-0.086494963,-0.087408698
1/20/2015,-0.165465883,-0.123963636
5/2/2011,-0.250704291,-0.238638463
9/17/2011,-0.098817989,-0.298429999
6/12/2012,-0.028790097,-0.342971426
6/26/2008,-0.124835323,-0.180294997
3/28/2019,-0.088109774,-0.142227058
1/11/2018,-0.078708555,-0.238755003
4/25/2017,-0.075770702,-0.175304545
2/10/2017,-0.059392643,-0.346864995
5/23/2016,-0.157946061,-0.068044166
2/7/2010,-0.115555249,-0.099714288
2/27/2009,-0.058522492,-0.131079997
10/25/2008,-0.142227058,-0.091644998
12/4/2013,-0.117726861,-0.157899999
12/14/2013,-0.057023972,-0.201919995
11/22/2012,-0.01801048,-0.048435
8/6/2013,-0.13786518,-0.088804999
1/28/2013,-0.037973684,-0.16568571
5/11/2011,-0.189453008,-0.040205001
9/19/2008,-0.068044166,-0.280069995
8/5/2019,-0.160878053,-0.118840002
10/24/2017,-0.073769309,-0.178469996
9/26/2016,-0.077858871,-0.152319999
12/5/2015,-0.171666492,-0.284064998
12/13/2016,-0.064893533,-0.125600002
9/6/2015,-0.144064853,-0.268925
9/21/2015,-0.146643477,-0.210119045
7/30/2009,-0.129123577,-0.249917386
6/24/2009,-0.060556363,-0.186023807
9/9/2009,-0.091385232,-0.132999998
9/18/2014,-0.086309905,-0.16967
11/3/2013,-0.133729548,-0.190257141
7/13/2014,-0.122980443,-0.332265003
4/15/2014,-0.104111418,-0.299081816
9/5/2012,-0.055341287,-0.193661904
5/30/2013,-0.040031054,-0.287104168
9/25/2011,-0.153205816,-0.380261905
3/29/2011,-0.146585382,-0.237263634
10/15/2011,-0.170247653,-0.261719997
7/10/2012,-0.013817146,-0.156810001
9/2/2011,-0.128380996,-0.152038095
6/13/2011,-0.13161606,-0.395379994
8/31/2012,-0.029289058,-0.284857135
10/13/2011,-0.166826558,0.01085
12/24/2011,-0.034711936,0.058999998
3/5/2012,-0.043123824,-0.167252381
2/19/2011,-0.121373383,-0.298665001
4/16/2018,-0.151196546,0.045915002
5/10/2019,-0.118905011,-0.076515467
7/19/2019,-0.151084525,0.073365
9/8/2019,-0.123514255,-0.0517925
7/25/2018,-0.119860301,-0.052503844
1/26/2019,-0.076515467,-0.210269998
6/27/2018,-0.060432732,-0.191271431
3/25/2016,-0.230353051,-0.071100003
6/22/2015,-0.115314099,-0.091204763
2/3/2016,-0.121365781,0.001274998
3/19/2017,-0.06589664,-0.031774998
4/28/2015,-0.122192635,-0.364944997
3/15/2009,-0.031150212,-0.212569997
3/8/2008,-0.0517925,-0.246812901
7/2/2008,0.011336875,-0.061239994
8/26/2016,-0.07712636,-0.291050001
9/13/2014,-0.131162526,-0.449924994
4/18/2014,-0.131730508,-0.225528572
4/9/2011,-0.218760366,-0.058275002
10/16/2011,-0.167414285,-0.18905
6/7/2011,-0.168969142,-0.409954996
4/7/2011,-0.130966581,-0.243569998
3/27/2012,-0.055023283,-0.217734997
1/31/2012,7.38E-04,-0.003003844
11/9/2008,-0.102869933,-0.09646
2/22/2018,-0.085040931,-0.053330003
6/10/2019,-0.121319791,-0.043561538
1/18/2018,-0.069460051,-0.114938097
1/8/2018,-0.060198193,-0.362514998
11/21/2015,-0.190581229,-0.231194998
5/26/2017,-0.110949556,-0.222749998
9/9/2016,-0.081049858,-0.151782943
8/1/2016,-0.071391839,-0.163339283
6/23/2010,-0.111738196,-0.441839999
4/21/2010,-0.078917756,-0.14665862
2/4/2010,-0.110276618,-0.043315002
1/30/2009,-0.010329796,-0.476144995
12/17/2013,-0.074167383,-0.121892592
10/9/2014,-0.161017116,-0.184189998
10/22/2013,-0.106579629,-0.125850001
7/20/2013,-0.111353653,-0.173129994
11/6/2013,-0.086367043,-0.401018179
5/16/2013,-0.1144298,-0.159494997
1/8/2014,-0.117465112,-0.285025004
9/18/2008,-0.151782943,-0.064024998
3/8/2018,-0.012974754,-0.062124806
2/11/2018,-0.110602355,-0.083753132
10/9/2018,-0.062124806,-0.116305001
3/30/2019,-0.104750699,-0.235994999
12/30/2018,-0.083753132,-0.137194996
11/26/2017,-0.057299667,-0.297859995
6/17/2016,-0.144488242,-0.003768179
11/6/2017,-0.069639274,-0.254144998
5/16/2015,-0.221036955,-0.20592
12/18/2010,-0.135290341,-0.260405001
1/22/2009,-0.07470985,-0.178574997
1/4/2017,-0.068945034,-0.178669998
9/25/2014,-0.142516508,-0.209460001
3/21/2014,-0.094853623,-0.092214999
1/5/2014,-0.071186012,-0.255974999
8/1/2013,-0.059506119,-0.19079
7/15/2014,-0.129848295,-0.245373807
9/16/2012,-0.089012554,-0.160279998
6/22/2014,-0.174522089,-0.177309999
3/18/2011,-0.17184664,-0.213914998
8/17/2011,-0.191231015,-0.341319042
5/25/2012,0.010690566,-0.268592001
4/23/2008,-0.13461883,-0.098642851
2/1/2019,-0.09270065,-0.09270065
9/30/2018,-0.051523011,-0.197127271
9/19/2018,-0.060348955,-0.286176002
9/27/2016,-0.080591739,-0.154531036
10/6/2010,-0.132531578,-0.073159765
7/18/2010,-0.152858535,-0.090718519
2/12/2009,-0.113616779,-0.131964999
5/27/2009,-0.080234042,-0.205404345
5/11/2009,-0.042775874,0.085415003
3/30/2009,-0.034500644,-0.308112499
8/5/2008,-0.073159765,-0.065496002
4/3/2009,-0.0255408,-0.297909521
3/6/2012,-0.008591611,-0.138814286
8/6/2014,-0.1509394,-0.154061901
7/28/2013,-0.130924484,-0.420354996
12/9/2014,-0.177033224,-0.195919997
12/27/2014,-0.160375619,0.004994998
8/3/2013,-0.116824815,-0.213734779
3/7/2011,-0.084226262,0.050840002
4/19/2011,-0.148713659,-0.424785711
4/10/2012,-0.055382305,-0.340795237
1/24/2012,-0.044621596,-0.101594999
8/11/2012,-0.023636486,-0.150169994
1/6/2012,-0.061534483,-0.254715002
10/1/2019,-0.147238439,-0.107710146
9/14/2017,-0.064079748,-0.126889997
7/11/2019,-0.101950531,-0.156380003
10/7/2018,-0.107710146,-0.046552379
1/14/2018,-0.139144965,-0.426466657
6/28/2017,-0.08830802,-0.129334997
10/9/2017,-0.057442234,-0.119598572
12/30/2015,-0.130661387,-0.320374996
10/23/2016,-0.066902734,-0.119947618
7/14/2009,-0.110867408,-0.239009518
8/16/2016,-0.091660177,-0.147475
9/19/2010,-0.089462563,-0.269415382
2/28/2014,-0.08268448,-0.153038094
8/7/2014,-0.130240665,-0.230224999
8/21/2014,-0.148747111,-0.229709996
6/19/2014,-0.082171378,-0.129861901
10/20/2011,-0.10961174,-0.313709517
5/14/2011,-0.18281007,-0.048429997
9/7/2011,-0.211546466,-0.190629999
8/7/2012,-0.046201582,-0.045000001
4/24/2012,0.013365632,-0.127389996
4/11/2009,-0.119598572,0.04657
3/13/2018,-0.116893845,-0.253699998
3/11/2019,-0.113709439,-0.293105001
4/3/2017,-0.122929332,-0.295220831
6/14/2017,-0.096597457,-0.278338099
4/30/2016,-0.118597789,-0.072537363
9/20/2015,-0.16151812,-0.117789998
2/17/2009,-0.064696253,-0.242564998
11/17/2009,-0.081676407,-0.250055001
7/23/2010,-0.186648275,-0.103069998
11/10/2008,-0.079611219,-0.098842855
9/6/2008,-0.050481482,-0.222745945
3/5/2014,-0.075957963,-0.109119998
2/13/2014,-0.071882458,-0.304259998
3/9/2014,-0.14895102,-0.292159991
10/27/2014,-0.134461394,-0.118889995
7/9/2013,-0.090030342,-0.159994999
11/9/2014,-0.103731513,-0.294160001
7/23/2013,-0.101440547,-0.095606451
7/19/2013,-0.047157394,-0.179805002
8/21/2013,-0.167916818,-0.167404997
10/23/2012,-0.053791608,-0.188855
4/14/2018,-0.126943213,-0.16057143
6/6/2019,-0.09023262,-0.081229681
6/28/2019,-0.033844118,-0.183662607
12/18/2018,-0.081229681,0.028039998
10/21/2018,-0.183662607,-0.229089653
3/29/2019,-0.090054035,-0.072982051
6/3/2019,-0.092468356,-0.28723333
1/13/2018,-0.116012563,-0.164299999
1/5/2018,-0.072074578,-0.169280001
12/4/2017,-0.062976051,0.012195007
7/21/2016,-0.136059272,-0.101479998
8/6/2009,-0.076088031,-0.205914999
3/14/2009,-0.072982051,-0.066455996
8/11/2008,0.001560742,-0.165725001
8/14/2008,-0.049495474,-0.266624997
3/2/2014,-0.13248765,-0.124120001
12/9/2013,-0.058933186,-0.277664999
